add(x,y);;;;;;;;;;;
(x,y);resultado;;;;;;;;;;
(6,2);8;;;;;;;;;;
(5,7);12;;;;;;;;;;
(8,3);11;;;;;;;;;;
(10,3);13;;;;;;;;;;
(4,3);7;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
multiply(x,y);;;;;;;;;;;
(x,y);resultado;i;i<x;i++;resultado;if(x==0 || y==0);else if(x==1 || y==1);if(x==1);else;;
(4,2);0;0;true;1;2;;;;;;
(4,2);2;1;true;2;4;;;;;;
(4,2);4;2;true;3;6;;;;;;
(4,2);6;3;true;4;8;;;;;;
(4,2);8;4;false;;;false;false;;;;
;;;;;;;;;;;
;;;;;;;;;;;
power(x,y);;;;;;;;;;;
(x,y);resultado;if(y==0);i;i<y;i++;if(i<=1);if(i==0);else;resultado;;
(2,4);;false;0;true;1;true;true;false;1;;
(2,4);1;false;1;true;2;true;false;true;4;;
(2,4);4;false;2;true;3;false;;;8;;
(2,4);8;false;3;true;4;false;;;16;;
(2,4);16;false;4;false;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
factorial(x);;;;;;;;;;;
x;resultado;i;i<x;i++;resultado;;;;;;
4;4;1;true;2;4;;;;;;
4;4;2;true;3;8;;;;;;
4;8;3;true;4;24;;;;;;
4;24;4;false;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
fibonacci(x);;;;;;;;;;;
x;variavelA;variavelB;operacao;resultado;i;i<x;i++;operacao;variavelA;variavelB;resultado
4;0;1;;;0;true;1;1;1;1;1
4;1;1;1;1;1;true;2;2;1;2;1
4;1;2;2;1;2;true;3;3;2;3;2
4;2;3;3;2;3;true;4;5;3;5;3
4;3;5;5;3;4;false;;;;;
